书名,作者,出版社,出版时间,价格,评分,评分人数,短评
一千零一夜,纳川,人民文学出版社,2020年1月,22,8.7,46602,阿拉伯地区的古代民间传说
正见,宗萨蒋扬钦哲仁波切,中国友谊出版公司,2020年1月,25,8.8,14942,佛陀的证悟
海风中失落的血色馈赠,[加拿大] 阿利斯泰尔·麦克劳德,上海文艺出版社,2015年6月,20,9.1,10696,男女之间、父母与子女之间紧密的纽带和难以逾越的鸿沟
从一到无穷大,[美] G. 伽莫夫,科学出版社,2020年11月,29,9.1,10232,科学中的事实和臆测
此生未完成,于娟,湖南科技出版社,2020年5月,26,8.9,17143,一个母亲、妻子、女儿的生命日记
青铜时代,王小波,花城出版社,1997年5月,29,8.7,20892,唐人传奇贯注现代情趣
认识电影,[美] 路易斯·贾内梯,世界图书出版公司,2020年11月,68,8.9,14422,电影入门经典之作
水浒传（全二册）,[明] 施耐庵,人民文学出版社,1997年1月,50.6,8.6,60045,替天行道
孙子兵法,孙武,上海古籍出版社,2020年7月,20,9.4,9505,我国最古老最杰出的一部兵书
理想国,[古希腊] 柏拉图,商务印书馆,1986年8月,28,8.8,23956,人类历史上最早的乌托邦
牧羊少年奇幻之旅,[巴西] 保罗·柯艾略,南海出版公司,2009年3月,25,8.5,125583,你自己就是最大的宝藏
圣经,中国基督教协会,中国基督教协会,1905年6月,,9,16497,上帝说，要有光
繁花,金宇澄,上海文艺出版社,2020年3月,48,8.7,21239,海上繁花，请静观静读
一桩事先张扬的凶杀案,[哥伦比亚] 加西亚·马尔克斯,南海出版公司,2020年6月,25,8.7,24693,我如此急切地想要讲述这桩案件，也许是它最终确定了我的作家生涯
银河帝国：基地七部曲,[美] 艾萨克·阿西莫夫,江苏凤凰文艺出版社,2015年10月,328,9.5,5932,阿西莫夫经典科幻小说
火星救援,[美] 安迪·威尔,译林出版社,2020年10月,38,8.9,13008,跟火星来一场不是你死就是我活的过家家游戏
黑客与画家,[美] Paul Graham,人民邮电出版社,2020年4月,49,8.7,19051,硅谷创业之父Paul Graham文集
额尔古纳河右岸,迟子建,北京十月文艺出版社,2005年12月,29,9,13996,东北少数民族鄂温克人生存现状及百年沧桑
棋王·树王·孩子王,阿城,江苏文艺出版社,2016年3月,58,9.2,10667,
巨流河,齐邦媛,生活·读书·新知三联书店,2020年10月,39,8.7,26010,两代人从巨流河到哑口海的故事
庄子,孙通海 译注,中华书局,2020年4月,20,9.4,8044,野马也，尘埃也，生物之以息相吹也
中国哲学简史,冯友兰,新世界出版社,2020年1月,38,8.9,15876,中国哲学入门书
你一生的故事,[美] 特德·姜,译林出版社,2020年5月,36,8.7,23311,特德·姜科幻小说集
强风吹拂,三浦紫苑,广西师范大学出版社,2015年1月,39,9,12254,明明这么痛苦，这么难过，为什么就是不能放弃跑步？
金锁记,张爱玲,哈尔滨出版社,2020年6月,13.5,8.6,50643,一个小商人家庭出身的女子曹七巧的心灵变迁历程
张爱玲文集,张爱玲,安徽文艺出版社,1905年6月,45,8.9,13138,
